N,constellation,h,m,dd,dm,name
1,1952 Tau,5,31.5,21,59,NG [yri{issumu                
2,   7089 Aqr ,21,30.9,-1,3,CG                            
3,   5272 CVn ,13,39.9,28,38,CG                            
4,   6121 Sco ,16,20.6,-26,24,CG                            
5,   5904 Ser ,15,16,2,16,CG                            
6,   6405 Sco ,17,36.8,-32,11,CO                            
7,   6475 Sco ,17,50.7,-34,48,CO                            
8,   6523 Sgr ,18,1.6,-24,20,NG Laguunisumu                
9,   6333 Oph ,17,16.2,-18,28,CG                            
10,   6254 Oph ,16,54.5,-4,2,CG                            
11,   6705 Sct ,18,48.4,-6,20,CO Villihanhi                 
12,   6218 Oph ,16,44.7,-1,52,CG                            
13,   6205 Her ,16,39.9,36,33,CG Herkuleen pallomainen t{hti
14,   6405 Oph ,17,35,-3,13,CG                            
15,   7078 Peg ,21,27.6,11,57,CG                            
16,   6611 Ser ,18,16,-13,48,CO                            
17,   6618 Sgr ,18,17.9,-16,12,NG Omega-sumu                 
18,   6613 Sgr ,18,17,-17,9,CO                            
19,   6273 Oph ,16,59.5,-26,11,CG                            
20,   6514 Sgr ,17,58.9,-23,2,NG Trifid-sumu                
21,   6531 Sgr ,18,1.8,-22,30,CO                            
22,   6656 Sgr ,18,33.3,-23,58,CG                            
23,   6494 Sgr ,17,54,-19,1,CO                            
24,   6603 Sgr ,18,15.2,-18,27,CO                            
25, I 4725 Sgr ,18,28.8,-19,17,CO                            
26,   6694 Sct ,18,42.5,-9,27,CO                            
27,   6853 Vul ,19,57.4,22,35,NP Nostopainosumu             
28,   6626 Sgr ,18,21.5,-24,54,CG                            
29,   6913 Cyg ,20,22.2,38,21,CO                            
30,   7099 Cap ,21,37.5,-23,25,CG                            
31,    224 And ,0,40,41,0,GS Andromedan galaksi
32,    221 And ,0,40,40,36,GE                            
33,    598 Tri ,1,31.1,30,24,GS Kolmion galaksi            
34,   1039 Per ,2,38.8,42,34,CO                            
35,   2168 Gem ,6,5.7,24,20,CO                            
36,   1960 Aur ,5,32,34,7,CO                            
37,   2099 Aur ,5,49,32,33,CO                            
38,   1912 Aur ,5,25.3,35,48,CO                            
39,   7092 Cyg ,21,30.4,48,13,CO                            
40,        UMa ,12,20,58,22,S2 Winnecke 4                 
41,   2287 CMa ,6,44.9,-20,42,CO                            
42,   1976 Ori ,5,32.9,-5,25,NG Orionin kaasusumu          
43,   1982 Ori ,5,33.1,-5,18,NG                            
44,   2632 Cnc ,8,37.5,19,52,CO Praesepe                   
45,        Tau ,3,43.9,23,58,CO Plejadit                   
46,   2437 Pup ,7,39.6,-14,42,CO                            
47,   2422 Pup ,7,34.3,-14,22,CO                            
48,   2548 Hya ,8,11.2,-5,38,CO                            
49,   4472 Vir ,12,27.3,8,16,GE                            
50,   2323 Mon ,7,0.5,-8,16,CO                            
51,   5194 CVn ,13,27.8,47,27,GS Py|rresumu                 
52,   7654 Cas ,23,22,61,20,CO                            
53,   5024 Com ,13,10.5,18,26,CG                            
54,   6715 Sgr ,18,52,-30,32,CG                            
55,   6809 Sgr ,19,36.9,-31,3,CG                            
56,   6779 Lyr ,19,14.9,30,5,CG                            
57,   6720 Lyr ,18,51.1,32,58,NP Lyyran rengassumu          
58,   4579 Vir ,12,35.1,12,5,GB                            
59,   4621 Vir ,12,39.5,11,55,GE                            
60,   4649 Vir ,12,41.1,11,49,GE                            
61,   4303 Vir ,12,19.4,4,45,GS                            
62,   6266 Oph ,16,58.1,-30,3,CG                            
63,   5055 CVn ,13,13.5,42,17,GS                            
64,   4826 Com ,12,54.3,21,57,GS Mustasilm{galaksi          
65,   3623 Leo ,11,16.3,13,23,GS                            
66,   3627 Leo ,11,17.6,13,17,GS                            
67,   2682 Cnc ,8,48.3,12,0,CO                            
68,   4590 Hya ,12,36.8,-26,29,CG                            
69,   6637 Sgr ,18,28.1,-32,23,CG                            
70,   6681 Sgr ,18,40,-32,21,CG                            
71,   6838 Sge ,19,51.5,18,39,CG                            
72,   6981 Aqr ,20,50.7,-12,44,CG                            
73,   6994 Aqr ,20,56.4,-12,50,S4                            
74,    628 Psc ,1,34,15,32,GS                            
75,   6864 Sgr ,20,3.2,-22,4,CG                            
76,    650 Per ,1,38.8,51,19,NP                            
77,   1068 Cet ,2,40.1,0,14,GS                            
78,   2068 Ori ,5,44.2,0,2,NG                            
79,   1094 Lup ,5,22.2,-24,34,CG                            
80,   6093 Sco ,16,14.1,-22,52,CG                            
81,   3031 UMa ,9,51.5,69,18,GS                            
82,   3034 UMa ,9,51.9,69,56,GI                            
83,   5236 Hya ,13,34.3,-29,37,GS                            
84,   4374 Vir ,12,22.6,13,10,GE                            
85,   4382 Com ,12,22.8,18,28,GE                            
86,   4406 Vir ,12,23.7,13,13,GE                            
87,   4486 Vir ,12,28.3,12,40,GE                            
88,   4501 Com ,12,29.5,14,42,GS                            
89,   4552 Vir ,12,33.1,12,50,GE                            
90,   4569 Vir ,12,34.3,13,26,GS                            
91,   4548 Com ,12,32.9,14,46,GB                            
92,   6341 Her ,17,15.6,43,12,CG                            
93,   2447 Pup ,7,42.4,-23,45,CO                            
94,   4736 CVn ,12,48.6,41,23,GS                            
95,   3351 Leo ,10,41.3,11,58,GB                            
96,   3368 Leo ,10,44.2,12,5,GS                            
97,   3587 UMa ,11,12,55,18,NP P|ll|sumu                  
98,   4192 Com ,12,11.3,15,11,GS                            
99,   4254 Com ,12,16.3,14,42,GS Tuulimyllygalaksi          
100,   4321 Com ,12,20.4,16,6,GS                            
101,   5457 UMa ,14,1.4,54,35,GS                            
102,   5866 Dra ,15,5.1,55,57,GE                            
103,    581 Cas ,1,29.9,60,27,CO                            
104,   4594 Vir ,12,37.3,-11,21,GS Sombrerogalaksi            
105,   3379 Leo ,10,45.2,12,51,GE                            
106,   4258 CVn ,12,16.5,47,35,GS                            
107,   6171 Oph ,16,29.7,-12,57,CG                            
108,   3556 UMa ,11,8.7,55,57,GS                            
109,   3992 UMa ,11,55,53,39,GS                  
